NO,PROVINSI,KABUPATEN,STASIUN,BUJUR,LINTANG,HTH,KRITERIA
1,Sulawesi Selatan,BANTAENG,Allu / Karatuang,119.9619444,-5.525416667,3,1
2,Sulawesi Selatan,BANTAENG,Bonto Jaya / Campagaloe,119.8638056,-5.544194444,3,1
3,Sulawesi Selatan,BANTAENG,Dampang,120.0386111,-5.494972222,3,1
4,Sulawesi Selatan,BANTAENG,Layoa,120.0851111,-5.535,1,1
5,Sulawesi Selatan,BANTAENG,Pajukukang / Nipa-Nipa,120.0176944,-5.561611111,4,1
6,Sulawesi Selatan,BANTAENG,Bonto Maccini,119.9343889,-5.504555556,3,1
7,Sulawesi Selatan,BANTAENG,Tompobulu / Banyorang,120.0415,-5.456166667,2,1
8,Sulawesi Selatan,BARRU,Bpp. Jampue,119.6234722,-4.394861111,7,2
9,Sulawesi Selatan,BARRU,Sumpang Binangae,119.6187778,-4.409194444,7,2
10,Sulawesi Selatan,BARRU,Bojo,119.6155278,-4.084194444,8,2
11,Sulawesi Selatan,BARRU,Bpp. Palanro,119.6388056,-4.170527778,8,2
12,Sulawesi Selatan,BARRU,Bpp. Pujananting / Doi-Doi,119.7014167,-4.588833333,1,1
13,Sulawesi Selatan,BARRU,Tompo Lemo-Lemo / Sdn. Menrong,119.7730556,-4.511055556,3,1
14,Sulawesi Selatan,BARRU,Bpp. Tanete Rilau,119.6081389,-4.480722222,4,1
15,Sulawesi Selatan,BONE,Bpp. Amali,120.1101389,-4.404027778,3,1
16,Sulawesi Selatan,BONE,Bpp. Barebbo / Attabaja,120.3466667,-4.601805556,2,1
17,Sulawesi Selatan,BONE,Bpp. Bengo / Selli,120.0200833,-4.623333333,1,1
18,Sulawesi Selatan,BONE,Cenrana,120.3207778,-4.330444444,1,1
19,Sulawesi Selatan,BONE,Bpp. Mare,120.3432778,-4.802861111,2,1
20,Sulawesi Selatan,BONE,Bpp. Manera Salomekko,120.2670278,-4.982333333,1,1
21,Sulawesi Selatan,BONE,Bpp. Tonra,120.2726667,-4.955611111,2,1
22,Sulawesi Selatan,BULUKUMBA,Bonto Macinna,120.1162222,-5.515194444,2,1
23,Sulawesi Selatan,BULUKUMBA,Herlang,120.3730278,-5.398666667,1,1
24,Sulawesi Selatan,BULUKUMBA,Tanah Jaya / Kajang,120.3521389,-5.343416667,2,1
25,Sulawesi Selatan,BULUKUMBA,Bpp. Tanah Kongkong,120.1815,-5.563972222,3,1
26,Sulawesi Selatan,BULUKUMBA,Bpp. Paruku / Ujung Loe,120.2739444,-5.340638889,3,1
